Fontana in piazza Cairoli;Piazza Cairoli
Monumento a Camillo Cavour;Piazza Camillo Cavour
Fontana in piazza Campitelli;Piazza Campitelli
Insula sotto il Palazzetto di Flaminio Ponzio;Piazza Campitelli/via del Teatro di Marcello
Monumento a Giordano Bruno;Piazza Campo de' Fiori
Palazzo Calvi;Piazza Campo de' Fiori 
Fontana ottocentesca in Campo de’ Fiori;Piazza Campo de’ Fiori
Fontana in piazza Capo di Ferro;Piazza Capo di Ferro
Fontana con gruppo scultoreo di Jacques Zwoboda;Piazza Caprera
Fontanella in ghisa a tre cannelle in piazza Caraffa;Piazza Caraffa  (Cesano)
Giardino e Gazebo;Piazza Cardinal Consalvi
Monumento ai Caduti dei quartieri Appio Latino Tuscolano;Piazza Casal Maggiore
Monumento a Cavour;Piazza Cavour
Fontana in piazza Clemente XI;Piazza Clemente XI - Primavalle
2 Fontane nell’edificio del mercato comunale;Piazza Cola di Rienzo
Busto a Totò;Piazza Cola di Rienzo
Fontana p.zza Colonna;Piazza Colonna
Scuola Cesare Battisti ( Garbatella );Piazza Damiano Sauli
Fontane contemporanee in piazza Dante;Piazza Dante
Resti di villa sotto casale del Quadraro;Piazza dei Consoli
Casale del Quadraro;Piazza dei Consoli
Monumento contemporaneo  “Tongeren 2000”;Piazza dei Consoli
Ex Convento di S. Maria in Trivio;Piazza dei Crociferi
Fontana a vasca con statua romana;Piazza dei Gerani
Odeon;Piazza dei Massimi
Fontana in piazza dei Quiriti;Piazza dei Quiriti
mausoleo di monte del grano;Piazza dei Tribuni
Mausoleo di Monte del Grano;Piazza dei Tribuni
Colle Capitolino;Piazza del Campidoglio
Cordonata del Campidoglio;Piazza del Campidoglio 
Tabularium;Piazza del Campidoglio, 1
Tempio di Veiove;Piazza del Campidoglio, 1
Fontana a tre cannelle ( borgo di S. Vittorino Romano);Piazza del Castello Barberini
Fontanella di Pio IX;Piazza del Catalone a Borgo Pio
Fontana delle Tiare;Piazza del Colonnato
Pilastri del cd. portico delle Terme di Tito;Piazza del Colosseo
Fontana sarcofago piazza Colosseo;Piazza del Colosseo
Casa Grande Barberini;Piazza del Monte di Pietà, 41
Monumento alle vittime dei bombardamenti aerei di San Lorenzo del 19 luglio 1943;Piazza del Parco Caduti, 19
Monumento alle vittime dei bombardamenti aerei di San Lorenzo del 19 luglio 1943;Piazza del Parco Caduti, 19
Fontana dei Leoni;Piazza del Popolo
Fontana del Nettuno;Piazza del Popolo
Fontana Dea Roma;Piazza del Popolo
Fontana sarcofago lato Caserma Acqua;Piazza del Popolo
Fontana sarcofago lato S. Maria Popolo;Piazza del Popolo
Sfinge (serie);Piazza del Popolo
Fontanelle dei leoni;Piazza del Popolo
Fontana del Navigante;Piazza del Porto di Ripetta 
Fontana a muro;Piazza del Quarticciolo
Fontana dei Dioscuri;Piazza del Quirinale
Privata Traiani/Terme Deciane;Piazza del Tempio di Diana
Fontana in piazza del Viminale;Piazza del Viminale
Fontana in piazza dell’Emporio;Piazza dell’Emporio
Busti (2) a Bartolomé Mitre e a Manuel Belgrano;Piazza dell’Esquilino
Fontanella rionale;Piazza della Cancelleria
Monumento a Pietro Metastasio;Piazza della Chiesa Nuova
Ex convento dei Filippini;Piazza della Chiesa Nuova
Fontana della Terrina;Piazza della Chiesa Nuova
Strutture antiche sotto l'Oratorio dei Filippini;Piazza della Chiesa Nuova, 5
Monumento ai Caduti di Isola Farnese;Piazza della Colonnetta
Monumento a Pietro Cossa;Piazza della Libertà
Fontanella in piazza della Maddalena;Piazza della Maddalena
Elefantino in piazza della Minerva;Piazza della Minerva
Fioriere (6) in piazza della Repubblica;Piazza della Repubblica
Aste Portabandiera (22);Piazza della Repubblica
Fontana p.zza della Rocca;Piazza della Rocca
Fontanella Tre Cannelle;Piazza della Rotonda
La fontana in piazza della Rotonda;Piazza della Rotonda
Fontanella delle tre cannelle;Piazza della Rotonda
Insula dell'Ara Coeli ;Piazza dell'Ara Coeli
Fontana dell’Ara Coeli;Piazza dell'Ara Coeli
Fontana a vasca semiellittica;Piazza delle Camelie
Palazzo in piazza delle Cinque Scole;Piazza delle Cinque Scole
Fontana in piazza delle Cinque Scole;Piazza delle Cinque Scole
Fontanella dell’Acqua Angelica;Piazza delle Vaschette
Monumento ai Caduti della guerra 1915-1918;Piazza di Monte Savello
Pasquino;Piazza di Pasquino
Ponte Sant'Angelo;Piazza di Ponte Sant'Angelo
Monumento commemorativo dell’11 settembre 2001 ( al confine con il rione Celio);Piazza di Porta Capena
Colonna toponomastica;Piazza di Porta Capena
Dromos di sepolcro;Piazza di Porta Maggiore
Sepolcro a fregio dorico;Piazza di Porta Maggiore
Monumento al Bersagliere;Piazza di Porta Pia
Fontana del Timone;Piazza di Porta Portese
Porta San Giovanni;Piazza di Porta San Giovanni
Monumento a S. Francesco d’Assisi;Piazza di Porta San Giovanni
Colonna Pio IX S. Francesco a Ripa;Piazza di S. Francesco d'Assisi
Ex convento di S. Gregorio al Celio;Piazza di S. Gregorio al Celio
Ponte Cestio;Piazza di San Bartolomeo all'Isola
Madama Lucrezia;Piazza di San Marco
Fontanella di S. Carlo;Piazza di Santa Maria in Trastevere
Scalinata Trinità dei Monti;Piazza di Spagna
Fontana Barcaccia;Piazza di Spagna
Colonna Immacolata Concezione;Piazza di Spagna
Obelisco verso lo spazio;Piazza di Tor Bella Monaca (da verificare)
Stadio di Domiziano;Piazza di Tor Sanguigna, 13
Fontana di Trevi;Piazza di Trevi
Cabina ACEA in piazza di Villa Carpegna;Piazza di Villa Carpegna
Sepolcro di Elio Callisto;Piazza Elio Callisto (Via Nomentana)
Fontana  a parallelepipedo;Piazza Erasmo Piaggio
Fontana p.zza Eschilo;Piazza Eschilo
Fontana degli Acilii;Piazza Eschilo
Fontana delle Naiadi;Piazza Esedra
Fontana delle Dieci Cannelle;Piazza Fabrizio De André
Fontane in piazza Farnese;Piazza Farnese
Porzione dello studio di Ettore Ferrari;Piazza Fiume
Resti antichi - piazza Fiume;Piazza Fiume (sottopassaggio)
Fontana presso il sepolcro di Sulpicio Massimo;Piazza Fiume, in via Piave
Fontana della Sfera;Piazza Gaetano Mosca
resti antichi di piazza Galeria;Piazza Galeria
Monumento a Mahatma Gandhi;Piazza Gandhi
Monumento in piazza Gian Lorenzo Bernini;Piazza Gian Lorenzo Bernini
Quinta Carta Geografica;Piazza Giovanni Agnelli, 10  (giardino interno Museo della Civiltà Romana)
Fontana  in piazza Giovanni Castano;Piazza Giovanni Castano
"Monumento a Pola fedele, stele commemorativa  dei profughi dalmati e pannello musivo “Esilio""";Piazza Giuliani e Dalmati
Monumento a Giuseppe Gioachino Belli;Piazza Giuseppe Gioachino Belli
Ponte Garibaldi;Piazza Giuseppe Gioachino Belli
Monumento G. G. Belli;Piazza Giuseppe Gioachino Belli
Fontana p.zza Gregoriopoli;Piazza Gregoriopoli
Cabina ACEA in piazza Irnerio;Piazza Irnerio
Fontana in piazza Iside;Piazza Iside
Monumento a Jan Palach;Piazza Jan Palach
Monumento a Josè de San Martin ;Piazza José de San Martin 
Monumento contemporaneo ‘Vesta’;Piazza Lodi
Fontana dei Catecumeni;Piazza Madonna dei Monti
Fontana circolare in piazza Mancini;Piazza Mancini
Monumento contemporaneo a Renzo Mancini;Piazza Mancini
Area archeologica piazza Fanti;Piazza Manfredo Fanti
Acquario Romano;Piazza Manfredo Fanti, 47
Monumento a Josè Protacio Rizal;Piazza Manila
Fontana p.zza Mastai;Piazza Mastai
Fontana delle Tartarughe;Piazza Mattei
Fontana-Giardino in piazza Mazzini;Piazza Mazzini
Colonna sec. XVII;Piazza Melozzo da Forlì
Fontana contemporanea della Dea Roma;Piazza Monte Grappa
Monumento ai caduti Monte Savello;Piazza Monte Savello
“La Nuova Vita”;Piazza Montesquieu
Fontana del Gigante;Piazza N. Cavalieri
Fontana dei Quattro Fiumi;Piazza Navona
Fontana del Moro;Piazza Navona
Fontana del Nettuno o dei Calderari;Piazza Navona
Fontana p.zza Nicosia;Piazza Nicosia
